file_name,referent,direction,np,pronoun,intervening,ld_text,verb_phrase_text,np_text,pronoun_text,intervening_text,previous_cu,cu,next_cu,narrative,ld_count,cu_count
USbi10MG_isE.exb,car1,np_first,simple,personal,1,um the first car (-) ya know (-) good thing he saw the: the ball and (-) um the dog (-) like lunging itself (-) into the street and barking and he slammed,um the first car (-) ya know (-) good thing he saw the: the ball and (-) um the dog (-) like lunging itself (-) into the street and barking and he slammed on his brakes (-),um the first car (-),and he slammed,(-) ya know (-) good thing he saw the: the ball and (-) um the dog (-) like lunging itself (-) into the street and barking and he,u:m (-) [tongueclicking] (-) a:n(d) (-) yeah these two cars were comin down the street,a:nd (-) um the first car (-) ya know (-) good thing he saw the: the ball and (-) um the dog (-) like lunging itself (-) into the street and barking,and he slammed on his brakes,(--) hey steve (-) it=s USbi10MG (-) i wa:s (-) walking down the street today a:nd i saw (-) something (-) um (-) pretty interesting so (--) there=s a street a:nd (-) um there were (-) like two sets of people well (-) one couple on one side and then (-) a lady on the other side (-) a:nd um (-) [tongueclicking] (-) there were two cars coming down the street (-) u:m (-) [tongueclicking] but the (-) guy that was with (-) um (-) i assume his wife or (-) um (-) girlfriend somebody (-) with a stroller uh dropped the ball that he was holding and it rolled into the street (-) a:nd the lady that was uh (-) across the street was unloading some groceries from her car (-) um with her dog and the dog started barking it was (-) quite the scene u:m (-) [tongueclicking] (-) a:n(d) (-) yeah these two cars were comin down the street a:nd (-) um the first car (-) ya know (-) good thing he saw the: the ball and (-) um the dog (-) like lunging itself (-) into the street and barking and he slammed on his brakes (-) but the second car the car that was behind him (-) [tongueclicking] (-) didn=t didn=t react quickly (-) u:m (-) so he (-) like crashed into (-) that car in front of him (-) [tongueclicking] (-) and yeah nobody was hurt (-) a:nd i was (-) okay so (-) just wanted to let you know (-),1,20
USbi29MG_fsE.exb,man,np_first,relative,personal,0,(-) the man who was holding a soccer ball and he was bouncing the soccer ball he dropped,(-) the man who was holding a soccer ball and he was bouncing the soccer ball he dropped it and,(-) the man who was holding a soccer ball and he was bouncing the soccer ball he,ball he dropped,(-) the man who was holding a soccer ball and he was bouncing the soccer ball he dropped,(-),u:m (-) as before they got to the (-) front of the path of the vehicles (-) the man who was holding a soccer ball and he was bouncing the soccer ball he dropped it,and it rolled past (-) the path of the oncoming vehicles (-) towards a: woman who was loading her groceries in her car on the opposite side of the parking lot,(-) this message is in regards to case number ef sixteen (-) u:m detailing what happened as a witness to the incident (-) uh i: s:aw a: (-) man a woman and a woman was pushing a stroller walking along a sidewalk (-) u:m and then: (-) as they came closer to me they turned to the right a:cross a parking lot (-) where two vehicles were (-) coming in (-) u:m (-) as before they got to the (-) front of the path of the vehicles (-) the man who was holding a soccer ball and he was bouncing the soccer ball he dropped it and it rolled past (-) the path of the oncoming vehicles (-) towards a: woman who was loading her groceries in her car on the opposite side of the parking lot (-) the: woman who was loading her groceries into her car was also holding a leash that was uh tied to her dog (-) and as the rolling soccer ball came closer to them (-) that set off the dog which came running out (-) uh into the street (-) right into the path of the vehicles (-) as the dog ran into the path of the vehicles the (-) vehicle that was in front (-) came to an abrupt stop to avoid hitting the dog and as it came to an abrupt stop the vehicle behind it (-) uh rearended and collided with the first vehicle (-),1,10
USbi20FG_fsE.exb,woman2,np_first,simple,simple,1,(-) a lady: i dunno (-) middle aged (-) um she=s,(-) a lady: i dunno (-) middle aged (-) um she=s taking out some groceries and,(-) a lady: i,um she=s,lady: i dunno (-) middle aged (-) um she=s,(-),and on the other side of the parking lot there is (-) a lady: i dunno (-) middle aged,(-),(-) hello i=m calling in about um (-) an accident i witnessed um the accident number is ef sixteen (-) um: in this incident nobody got hurt i was just asked to call in and give (-) um sort of my account of what happened (-) um there was a: couple (-) i don=t know young couple maybe thirties twenties somethin like that(-) um walking with a baby stroller (-) a:nd the gentleman was bouncing a soccer ball u:m and then at some point the soccer ball hit his foot and ran into the street they were like walking next to a parking lot it looks like (-) and on the other side of the parking lot there is (-) a lady: i dunno (-) middle aged (-) um she=s taking out some groceries and she=s got a little dog with her (-) u:m (-) [tongueclicking] obviously when the ball rolls across the parking lot the dog (-) gets excited and starts running towards it (-) and then (-) while this is happening (-) there=s a blue car rounding (det) corner into the parking lot (-) um (-) and then the blue car (-) sees the dog (-) running into the parking lot and he stops and he=s pretty far away i mean it doesn=t look like he was gettin pretty close (-) um but behind him was a white car (-) um and that one stops pretty abruptly (-) behind him obviously because he doesn=t see the dog (-) um and then those two guys get out of the car (-) ya know they go look at the damage (-) u:m looks like it=s an older dude in the blue car (-) and a much younger gentleman in the white car behind him (-) [tongueclicking] u:m (-) the guy: from the blue car the older gentleman (-) he dials nine one one looks like he=s calling them (-) u:h but again doesn=t look like anybody was hu:rt um you can=t really hear the cars hitting each other or anything (-) um but the guy with the soccer ball he goes over to the lady and he helps her pick up her groceries u:m (-) cuz they ya know fell everywhere (-) she=s holdin her dog (-) u:m (-) once he=s done helping her though (-) uh he goes over to the car accident u:m (-) and he=s like standin in between the two guys and he=s lookin at it (-) it looks like i don=t know they=re talking about whatever happened (-) um i don=t remember what the lady=s doing with the (-) stroller (-) um cuz obviously i was paying attention to the accident (-) um but that is all of the information i think i witnessed (-) um and that=s all (-) thank you (-),3,42
USbi20FG_fsE.exb,driver1,np_first,preposition,personal,0,(-) the guy: from the blue car the older gentleman (-) he dials,(-) the guy: from the blue car the older gentleman (-) he dials nine one one looks,(-) the guy: from the blue car the older gentleman (-),(-) he dials,gentleman (-) he,(-) [tongueclicking],u:m (-) the guy: from the blue car the older gentleman (-) he dials nine one one,looks like he=s calling them,(-) hello i=m calling in about um (-) an accident i witnessed um the accident number is ef sixteen (-) um: in this incident nobody got hurt i was just asked to call in and give (-) um sort of my account of what happened (-) um there was a: couple (-) i don=t know young couple maybe thirties twenties somethin like that(-) um walking with a baby stroller (-) a:nd the gentleman was bouncing a soccer ball u:m and then at some point the soccer ball hit his foot and ran into the street they were like walking next to a parking lot it looks like (-) and on the other side of the parking lot there is (-) a lady: i dunno (-) middle aged (-) um she=s taking out some groceries and she=s got a little dog with her (-) u:m (-) [tongueclicking] obviously when the ball rolls across the parking lot the dog (-) gets excited and starts running towards it (-) and then (-) while this is happening (-) there=s a blue car rounding (det) corner into the parking lot (-) um (-) and then the blue car (-) sees the dog (-) running into the parking lot and he stops and he=s pretty far away i mean it doesn=t look like he was gettin pretty close (-) um but behind him was a white car (-) um and that one stops pretty abruptly (-) behind him obviously because he doesn=t see the dog (-) um and then those two guys get out of the car (-) ya know they go look at the damage (-) u:m looks like it=s an older dude in the blue car (-) and a much younger gentleman in the white car behind him (-) [tongueclicking] u:m (-) the guy: from the blue car the older gentleman (-) he dials nine one one looks like he=s calling them (-) u:h but again doesn=t look like anybody was hu:rt um you can=t really hear the cars hitting each other or anything (-) um but the guy with the soccer ball he goes over to the lady and he helps her pick up her groceries u:m (-) cuz they ya know fell everywhere (-) she=s holdin her dog (-) u:m (-) once he=s done helping her though (-) uh he goes over to the car accident u:m (-) and he=s like standin in between the two guys and he=s lookin at it (-) it looks like i don=t know they=re talking about whatever happened (-) um i don=t remember what the lady=s doing with the (-) stroller (-) um cuz obviously i was paying attention to the accident (-) um but that is all of the information i think i witnessed (-) um and that=s all (-) thank you (-),3,42
USbi20FG_fsE.exb,man,np_first,preposition,personal,0,but the guy with the soccer ball he goes,but the guy with the soccer ball he goes over to the lady and,but the guy with the soccer ball he,ball he goes,but the guy with the soccer ball he goes,(-),um but the guy with the soccer ball he goes over to the lady,and he helps her pick up her groceries,(-) hello i=m calling in about um (-) an accident i witnessed um the accident number is ef sixteen (-) um: in this incident nobody got hurt i was just asked to call in and give (-) um sort of my account of what happened (-) um there was a: couple (-) i don=t know young couple maybe thirties twenties somethin like that(-) um walking with a baby stroller (-) a:nd the gentleman was bouncing a soccer ball u:m and then at some point the soccer ball hit his foot and ran into the street they were like walking next to a parking lot it looks like (-) and on the other side of the parking lot there is (-) a lady: i dunno (-) middle aged (-) um she=s taking out some groceries and she=s got a little dog with her (-) u:m (-) [tongueclicking] obviously when the ball rolls across the parking lot the dog (-) gets excited and starts running towards it (-) and then (-) while this is happening (-) there=s a blue car rounding (det) corner into the parking lot (-) um (-) and then the blue car (-) sees the dog (-) running into the parking lot and he stops and he=s pretty far away i mean it doesn=t look like he was gettin pretty close (-) um but behind him was a white car (-) um and that one stops pretty abruptly (-) behind him obviously because he doesn=t see the dog (-) um and then those two guys get out of the car (-) ya know they go look at the damage (-) u:m looks like it=s an older dude in the blue car (-) and a much younger gentleman in the white car behind him (-) [tongueclicking] u:m (-) the guy: from the blue car the older gentleman (-) he dials nine one one looks like he=s calling them (-) u:h but again doesn=t look like anybody was hu:rt um you can=t really hear the cars hitting each other or anything (-) um but the guy with the soccer ball he goes over to the lady and he helps her pick up her groceries u:m (-) cuz they ya know fell everywhere (-) she=s holdin her dog (-) u:m (-) once he=s done helping her though (-) uh he goes over to the car accident u:m (-) and he=s like standin in between the two guys and he=s lookin at it (-) it looks like i don=t know they=re talking about whatever happened (-) um i don=t remember what the lady=s doing with the (-) stroller (-) um cuz obviously i was paying attention to the accident (-) um but that is all of the information i think i witnessed (-) um and that=s all (-) thank you (-),3,42
USbi20FG_isE.exb,car2,np_first,simple,personal,1,then the second car (-) [tongueclicking] can=t really tell what happened but it stops,then the second car (-) [tongueclicking] can=t really tell what happened but it stops pretty abruptly behind the first car (-),then the second car (-),but it stops,car (-) [tongueclicking] can=t really tell what happened but it,(-),and then the second car (-) [tongueclicking] can=t really tell what happened,but it stops pretty abruptly behind the first car,(--) hey adam so i just saw this really strange accident (-) there was um: this guy and a lady: and they were just out walkin with a baby stroller (-) a:nd he was like bouncin a soccer ball (-) [tongueclicking] and he hit the soccer ball on his foot (-) and it (-) rolled into the street (-) [tongueclicking] and then on the other side of the street there was this lady: (-) and she was unloading groceries and she had her dog with her and the dog saw the ball and so the dog like pulled on her (-) and ran into the street (-) and then while all this is happening (-) um (-) there are these two cars that come round the corner looks like everybody=s in a parking lot (-) um: and when the dog runs into the street obviously the cars stop (-) um first car stops pretty far away so everything is cool (-) and then the second car (-) [tongueclicking] can=t really tell what happened but it stops pretty abruptly behind the first car (-) um and then obviously everybody gets out of their cars to take a look at the damage and then call nine one one (-) um but it was really nice the (-) guy with the soccer ball he uh went over and helped the lady (-) uh pick up her groceries cuz she dropped a buncha stuff when the dog ran into the street (-) and then he went over to look at the damage as well (-) everybody was pretty calm though so not a really big crash just thought i=d let you know (--),2,27
USbi20FG_isE.exb,man,np_first,preposition,personal,0,nice the (-) guy with the soccer ball he uh,nice the (-) guy with the soccer ball he uh went over and helped the lady (-) uh pick up her groceries cuz,nice the (-) guy with the soccer ball he,ball he uh,nice the (-) guy with the soccer ball he uh,(-),um but it was really nice,the (-) guy with the soccer ball he uh went over,(--) hey adam so i just saw this really strange accident (-) there was um: this guy and a lady: and they were just out walkin with a baby stroller (-) a:nd he was like bouncin a soccer ball (-) [tongueclicking] and he hit the soccer ball on his foot (-) and it (-) rolled into the street (-) [tongueclicking] and then on the other side of the street there was this lady: (-) and she was unloading groceries and she had her dog with her and the dog saw the ball and so the dog like pulled on her (-) and ran into the street (-) and then while all this is happening (-) um (-) there are these two cars that come round the corner looks like everybody=s in a parking lot (-) um: and when the dog runs into the street obviously the cars stop (-) um first car stops pretty far away so everything is cool (-) and then the second car (-) [tongueclicking] can=t really tell what happened but it stops pretty abruptly behind the first car (-) um and then obviously everybody gets out of their cars to take a look at the damage and then call nine one one (-) um but it was really nice the (-) guy with the soccer ball he uh went over and helped the lady (-) uh pick up her groceries cuz she dropped a buncha stuff when the dog ran into the street (-) and then he went over to look at the damage as well (-) everybody was pretty calm though so not a really big crash just thought i=d let you know (--),2,27
USbi21FG_isE.exb,man,np_first,simple,personal,0,(-) this guy he was,(-) this guy he was bouncing a ball and,(-) this guy he,guy he was,(-) this guy he was,i just saw um (-) i just saw a car rearend another car (-) um in the parking lot (-) as i was walking,and (-) this guy he was bouncing a ball,and he was walking with (-) with a girl and a stroller,(-) hey lou i just saw <Q> communication with elicitor </Q>  just saw um (-) i just saw a car rearend another car (-) um in the parking lot (-) as i was walking <Q> communication with elicitor </Q>  i just saw um (-) i just saw a car rearend another car (-) um in the parking lot (-) as i was walking and (-) this guy he was bouncing a ball and he was walking with (-) with a girl and a stroller and he was bouncing this ball (-) and the:n (-) n/ it the ball like escaped from him as he was about to cross the street and then on the other side (-) there was a dog and this woman like unloading or loading things into her car (-) and (-) th/ the dog went for the ball (-) which was rolling in the middle (-) as two cars were coming (-) and then the first car stopped short (-) so: it could avoid hitting the dog (-) and the:n (-) u:m: the second car rearends the first car [tongueclicking] it was a mess [tongueclicking] (-) okay (-) that=s it (-),2,15
USbi21FG_isE.exb,ball,pronoun_first,simple,personal,0,n/ it the ball like,n/ it the ball like escaped from him as he was about to cross the street and,it the ball like,n/ it the,n/ it the ball like,(-),and the:n (-) n/ it the ball like escaped from him as he was about to cross the street,and then on the other side (-) there was a dog and this woman like unloading or loading things into her car,(-) hey lou i just saw <Q> communication with elicitor </Q>  just saw um (-) i just saw a car rearend another car (-) um in the parking lot (-) as i was walking <Q> communication with elicitor </Q>  i just saw um (-) i just saw a car rearend another car (-) um in the parking lot (-) as i was walking and (-) this guy he was bouncing a ball and he was walking with (-) with a girl and a stroller and he was bouncing this ball (-) and the:n (-) n/ it the ball like escaped from him as he was about to cross the street and then on the other side (-) there was a dog and this woman like unloading or loading things into her car (-) and (-) th/ the dog went for the ball (-) which was rolling in the middle (-) as two cars were coming (-) and then the first car stopped short (-) so: it could avoid hitting the dog (-) and the:n (-) u:m: the second car rearends the first car [tongueclicking] it was a mess [tongueclicking] (-) okay (-) that=s it (-),2,15
USbi79MG_isE.exb,man,pronoun_first,simple,personal,0,and he the guy with,and he the guy with (-),he the guy with,and he the,and he the guy with,(-),and he the guy with,(-),(-) yo bro (-) there was a (-) guy walking down the street (-) and he was holding a soccer ball (-) and that soccer ball dropped (-) and like a dog was across the street he=s chased after the soccer ball (-) and he the guy with (-) and there=s a car coming and the car stopped (-) and there=s a car behind him (-) and it like hit him (-) an(d) they got into an accident (--) that=ll be it [laughing] (-),1,13
